marca,modelo,ano_modelo,preco,mes_referencia,data_consulta
Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.982,00",dezembro/2018,"segunda-feira, 30 de maio de 2022 22:59"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.975,00",novembro/2018,"segunda-feira, 30 de maio de 2022 22:59"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 47.361,00",outubro/2018,"segunda-feira, 30 de maio de 2022 22:59"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 49.009,00",setembro/2018,"segunda-feira, 30 de maio de 2022 22:59"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 50.010,00",agosto/2018,"segunda-feira, 30 de maio de 2022 23:00"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 50.945,00",julho/2018,"segunda-feira, 30 de maio de 2022 23:00"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 52.270,00",junho/2018,"segunda-feira, 30 de maio de 2022 23:00"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 51.555,00",maio/2018,"segunda-feira, 30 de maio de 2022 23:00"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 50.872,00",abril/2018,"segunda-feira, 30 de maio de 2022 23:01"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 50.190,00",março/2018,"segunda-feira, 30 de maio de 2022 23:01"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 50.064,00",fevereiro/2018,"segunda-feira, 30 de maio de 2022 23:01"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 49.401,00",janeiro/2018,"segunda-feira, 30 de maio de 2022 23:01"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 61.328,00",maio/2022,"quarta-feira, 1 de junho de 2022 14:51"
Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 61.328,00",maio/2022,"quarta-feira, 1 de junho de 2022 14:53"
